"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.08","0.064",".",".",".","19","7.4",".",".","."
"01027","Clay County, AL",".",".",".",".",".",".",".",".",".","17","7.9",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.06","0.056",".",".",".","16","7.4",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.06","0.058",".",".",".","17","8",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.07","0.061",".",".",".","18","8.9",".",".","."
"01069","Houston County, AL",".",".",".",".","0.06","0.055",".",".",".","18","8.6",".",".","."
"01073","Jefferson County, AL","1.5","2.1","38","11","0.08","0.064","84","32","4","21","10.3","52","22","."
"01089","Madison County, AL",".",".",".",".","0.07","0.063",".",".",".","16","7.4","27","14","."
"01097","Mobile County, AL",".",".",".",".","0.08","0.065",".",".",".","17","8",".",".","."
"01101","Montgomery County, AL",".",".",".",".","0.06","0.057",".",".",".","20","9","34","15","."
"01103","Morgan County, AL",".",".",".",".","0.07","0.06",".",".",".","16","7.7",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09"
"01113","Russell County, AL",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.08","0.061","43","10","0",".",".",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"01121","Talladega County, AL",".",".",".",".",".",".",".",".",".","19","8.7",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"02020","Anchorage Borough, AK","4.6","3.5",".",".",".",".",".",".",".","27","5.5","88","19","."
"02068","Denali Borough, AK",".",".",".",".","0.05","0.05",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","2.9","2","55","13","0.05","0.048","35","23","6","43","9.6","49","15","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","22","5.6","30","7","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".","0.05","0.043",".",".",".","30","5.7","119","12","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".","7","2.7","53","16","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.067",".",".",".",".",".","148","30","."
"04005","Coconino County, AZ",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.09","0.076","280","44","9",".",".","122","31","0.28"
"04012","La Paz County, AZ","0.3","0.3",".",".","0.07","0.069",".",".",".","11","5.6","76","14","."
"04013","Maricopa County, AZ","4.6","2.9","67","31","0.1","0.079","10","4","1","31","10.2","160","56","0.05"
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".",".",".","91","19","."
"04017","Navajo County, AZ",".",".",".",".","0.07","0.065",".",".",".",".",".","49","19","."
"04019","Pima County, AZ","1.8","1.2","37","8","0.08","0.073","2","1","0","17","6.7","156","49","."
"04021","Pinal County, AZ",".",".",".",".","0.1","0.079",".",".",".","36","15.6","416","87","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","30","8.9","153","36","."
"04025","Yavapai County, AZ",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"04027","Yuma County, AZ",".",".",".",".","0.09","0.074",".",".",".","20","8.5","302","42","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","16","7.7",".",".","."
"05003","Ashley County, AR",".",".",".",".",".",".",".",".",".","19","8.2",".",".","."
"05019","Clark County, AR",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"05035","Crittenden County, AR",".",".","37","7","0.08","0.064",".",".",".","14","8",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","21","8.8",".",".","."
"05067","Jackson County, AR",".",".",".",".",".",".",".",".",".","19","8.1",".",".","."
"05101","Newton County, AR",".",".",".",".","0.06","0.056",".",".",".",".",".",".",".","."
"05113","Polk County, AR",".",".",".",".","0.07","0.061",".",".",".","17","8.1",".",".","."
"05119","Pulaski County, AR","1.7","1.5","39","8","0.07","0.062","8","2","1","23","9.9","36","19","."
"05139","Union County, AR",".",".",".",".",".",".",".",".",".","19","8.9",".",".","."
"05143","Washington County, AR",".",".",".",".","0.07","0.061",".",".",".","15","7.8","44","18","."
"06001","Alameda County, CA","3.1","2.1","52","17","0.13","0.079","10","2","1","36","12.8",".",".","."
"06005","Amador County, CA",".",".",".",".","0.09","0.071",".",".",".",".",".",".",".","."
